latitude,longitude,vegetation_height_m,terrain_height_m,canopy_height_m,measurement_date,distance_from_query_km,cached_at,has_data
41.86486833547731,-124.10899806745522,1.513689686128703e-36,4.301986285477189e-43,1.51369004486111e-36,Unknown,3.639310289154429,2026-02-21T17:46:58.834819,
41.84740847323755,-124.11873004737666,4.6830912527720034e-30,2.9416057363106555e-41,4.6830912527720034e-30,Unknown,3.646628108983041,2026-02-21T17:47:03.049865,
41.86944386347152,-124.15864299409093,1.86362383858274e-12,2.624632023680383e-42,1.86362383858274e-12,Unknown,0.7183317295309487,2026-02-21T17:47:06.614091,
41.86478744032351,-124.15802598288327,3.2856619782231124e-17,4.083383725042517e-42,3.2856619782231124e-17,Unknown,0.2516913071116198,2026-02-21T17:47:10.011497,
34.22423484498829,-118.39609222788464,2.0079687741982032e-38,2.9416057363106555e-41,2.010910379934513e-38,Unknown,2.9707083004935884,2026-02-21T17:48:37.437399,
34.19135970982613,-118.3977029617951,1.8383454480908057e-12,1.982837327019616e-42,1.8383454480908057e-12,Unknown,1.5777410877982685,2026-02-21T17:48:56.162889,
34.20037721280836,-118.39866434856717,4.915800766099205e-31,2.228064558276459e-43,4.915800766099205e-31,Unknown,2.755720199054218,2026-02-21T17:48:59.561349,
34.15607803215629,-118.39362601657724,4.3682986381288584e-34,1.8357009882655104e-43,4.3682986381288584e-34,Unknown,3.715027621613357,2026-02-21T17:49:03.194378,
34.24112356455708,-118.39292395410688,1.750346664609727e-24,1.1672816207825726e-42,1.750346664609727e-24,Unknown,1.942108017600688,2026-02-21T17:49:26.739493,
34.243154411890266,-118.39265413784602,9.943021822186016e-34,2.4382593279251817e-43,9.943021822186016e-34,Unknown,1.2277014038814542,2026-02-21T17:49:30.236909,
34.069205221119056,-117.95004064473284,2.211019345153452e-26,2.9416057363106555e-41,2.211019345153452e-26,Unknown,3.75276633986156,2026-02-21T17:49:37.337324,
34.06187405581832,-117.89836373281976,2.211019345153452e-26,2.9416057363106555e-41,2.211019345153452e-26,Unknown,3.8028201998594,2026-02-21T17:49:41.573509,
34.05980079271048,-117.93308635390484,2.0079687741982032e-38,2.9416057363106555e-41,2.010910379934513e-38,Unknown,2.30656703657321,2026-02-21T17:49:45.026792,
34.05013434465177,-117.93196211204908,2.211019345153452e-26,2.9416057363106555e-41,2.211019345153452e-26,Unknown,2.430615208234479,2026-02-21T17:49:49.209323,
34.06511787633881,-117.91556422896606,4.087825841174427e-40,5.441241936973265e-42,4.142238260544159e-40,Unknown,0.919061220442337,2026-02-21T17:49:53.706027,
33.987228184641786,-118.1838024456736,2.358970642089844,6.671581988650454e-42,2.358970642089844,Unknown,1.1053185078851584,2026-02-21T17:49:57.651403,
33.99305913432158,-118.18447697021438,0.0884070396423339,2.2841164968494522e-43,0.0884070396423339,Unknown,0.5119737082328969,2026-02-21T17:50:01.434883,
33.9975327444439,-118.18594245750931,7.246400745078431e-15,4.40708367030155e-42,7.246400745078431e-15,Unknown,0.1555522757778082,2026-02-21T17:50:05.116092,
34.002802892394406,-118.20189723506697,2.772911071777344,2.375200897030565e-42,2.772911071777344,Unknown,0.6195494979809837,2026-02-21T17:50:09.018496,
